dataset,question,ground_truth,generated_response,correct,justification
positive,What steps should I follow to reply to a customer's review on a phone?,"To reply to a customer's review on a phone, select More → Reports → Review Management. Filter your report as needed and select Run Report. Below the customer's comment, enter or generate your response in the Write a reply box. You can either write your own response or select Reply with AI to auto-generate a response. After reviewing the generated response, select Use this Text and then select the Post Response button to post your message below the customer's comment.","To reply to a customer's review on a phone, select More → Reports → Review Management. Filter your report as needed, then enter or generate your response below the customer's comment. You can also choose ""Reply with AI"" to auto-generate a response. Review and then select ""Use this Text"" and post your response. Source: https://support.vagaro.com/hc/en-us/articles/4405382006299-Respond-to-Customer-Reviews",True,"The AI's response accurately outlines the steps to reply to a customer's review on a phone, covering the main points from the ground truth."
positive,How can I add new patients to E-Prescribe?, Create a customer profile for them in vagaro or link and existing profile to them. Ensure they have a first name last name birthday gender address and at least one phone number. Go to customers select a customers and go to the E-Prescribe tab. Select Start prescribing.,"To add new patients to E-Prescribe, go to Customers, select the customer, then go to the E-Prescribe tab and click Start Prescribing. Ensure the patient's profile has complete information (name, DOB, gender, address, phone number) to avoid prompts for additional details. Once linked with ScriptSure, you'll be able to prescribe medications and view their medication history. Source: https://support.vagaro.com/hc/en-us/articles/41122742911259-Add-New-Patients-to-E-Prescribe",True,The AI's response accurately covers the main steps for adding new patients to E-Prescribe and includes important details about the required patient information.
positive,What steps do I need to follow to add a Vagaro Service to my service menu on a phone?,"To add a Vagaro Service to your service menu on a phone, select More → Settings → Service/Class Menu. Then select Services to view your service menu. Verify that the Service/Class Menu is for the correct employee, select Add, and then select Service. Choose Vagaro Service or Custom Service, scroll through the list of services, select the one you want to add, and then select Save.","To add a Vagaro Service on a phone, follow these steps:
1. Select More → Settings → Service/Class Menu.
2. Tap Services to view your menu.
3. Verify the correct employee at the top, or use Filters to select another.
4. Tap Add at the bottom, then select Service.
5. Choose Vagaro Service or Custom Service.
6. Scroll and select the desired service, then tap Save.
7. Provide or edit the service details as needed.

Source: https://support.vagaro.com/hc/en-us/articles/18977243959067-Add-a-Vagaro-Service",True,"The AI's response accurately outlines the steps to add a Vagaro Service to the service menu on a phone, closely following the ground truth answer."
positive,What happens if I have only one Vagaro license regarding the business hours setup?,"If you have only one Vagaro license, which is usually the business owner's, the toggle for specifying business hours does not appear. Instead, the working hours entered in the business owner's Employee Profile screen are automatically used.","If you have only one Vagaro license, the toggle for specifying your business hours does not appear. Instead, the working hours entered in the business owner's Employee Profile screen are automatically used. Source: https://support.vagaro.com/hc/en-us/articles/18977243390491-Set-Up-Your-Business-Profile",True,The AI's response accurately reflects the central idea of the ground truth answer regarding the business hours setup with one Vagaro license.
positive,What information is displayed on the Company Pays tab for each employee?,"The Company Pays tab shows the first and last name of each employee, the gross amount of money paid to the employee, the payment method, the amount reimbursed, the total amount of taxes paid by the company for the employee, the total amount of benefits paid by the company for the employee, and the subtotal of all amounts paid by the company for the employee.","The Company Pays tab displays the following information for each employee: Employees' names, Gross Pay Total, Payment Method, Reimbursements, Company Taxes, Company Benefits, and Subtotal of all amounts paid by the company. Source: https://support.vagaro.com/hc/en-us/articles/115003990314-Payroll-History-Report",True,"The AI's response accurately summarizes the information displayed on the Company Pays tab, covering all key points from the ground truth."
positive,How can I jump to a specific month and year on the calendar using a phone?,"On a phone, you can jump to a specific month and/or year by selecting the Menu menu in the top-right corner, then selecting the Calendar Jump button. Use the < or > buttons to cycle through the different months, or select the current month with the Down-Arrow icon to choose another year or month. After selecting a day on the calendar, select Done to update your calendar.","To jump to a specific month and year on the calendar using a phone, tap the Menu icon in the top-right corner, then select the Calendar Jump button. Use the < or > buttons to cycle through months, or select the Down-Arrow icon to choose another year or month. Select a day or tap Done to update your calendar. Source: https://support.vagaro.com/hc/en-us/articles/360016457833-Jump-to-a-Date-on-the-Calendar",True,"The AI's response accurately describes the steps to jump to a specific month and year on the calendar, aligning closely with the ground truth answer."
positive,What is Vagaro's public key used for in the context of data transfer?,Vagaro's public key is used for encrypting data during the transfer process using PGP encryption.,"Vagaro's public key is used for encrypting data during transfer to ensure secure communication. It allows you to encrypt data so that only Vagaro's system can decrypt it with their private key, maintaining data confidentiality. Source: https://support.vagaro.com/hc/en-us/articles/13676714787739-Transferring-Data-using-PGP-Encryption",True,The AI's response accurately explains the purpose of Vagaro's public key in the context of data transfer and aligns with the ground truth.
positive,How do I access the Checkout Settings on the Vagaro Pro App?,"To access the Checkout Settings on the Vagaro Pro App, go to the Checkout screen and in the top-right corner, select the Settings icon.","To access the Checkout Settings on the Vagaro Pro App, select the Settings icon in the top-right corner of the Checkout screen. Source: https://support.vagaro.com/hc/en-us/articles/19076333010075-Change-Your-Checkout-Settings",True,The AI's response accurately conveys the method to access the Checkout Settings and aligns with the ground truth.
positive,What notifications will a customer receive after an invoice is created for them?,"The customer will receive the invoice by email and text with instructions on how to pay online, as well as a push notification notifying them of the new invoice.","After an invoice is created, the customer will receive an email, text message, and push notification with instructions on how to pay online. They will also receive payment reminders every seven days via email until the invoice is paid. Source: https://support.vagaro.com/hc/en-us/articles/360011037574-Create-and-Send-an-Invoice-at-Checkout",True,"The AI's response accurately covers the main points of the ground truth answer regarding the notifications received after an invoice is created, while also providing additional helpful information about payment reminders."
positive,What information is displayed for each customer profile in the Customer List Report when viewed on a phone?,"The following information is shown for each customer profile listed in the report on a phone: Name, Amount Spent, Email, Address, Cell Phone, Day Phone, Night Phone, Customer Since, Last Visited, Membership, Online Booking status, Birthdate, Gender, Referred By, Tags, Appointments Booked, Classes Booked, Check-Ins, Credit Card details, Bank information, Points Earned, and No Shows/Cancellations.","When viewed on a phone, the Customer List Report displays the following information for each customer profile: Name, Amount Spent, Email, Address, Cell Phone, Day Phone, Customer Since, Last Visited, Membership, Online Booking status, Birthdate, Gender, Referred By, Tags, Appointments Booked, Classes Booked, Check-Ins, Credit Card details, Bank info, Points Earned, No Shows/Cancellations, and Employee Seen. Source: https://support.vagaro.com/hc/en-us/articles/115004772554-Customer-List-Report",False,"The AI's response includes 'Employee Seen,' which is not mentioned in the ground truth answer, thus providing incorrect information."
positive,What are the benefits of creating Daily Deals on Vagaro?,"Creating Daily Deals helps advertise your business to new customers, encourages returning customers, and increases visibility by appearing on the Vagaro Marketplace, your Vagaro Listing Page, and MySite.","Creating Daily Deals on Vagaro helps advertise your business to new customers, encourages return visits from previous clients, and increases your business's visibility through the Vagaro Marketplace, your Vagaro Listing Page, and MySite. The feature is free and does not involve any commission. Source: https://support.vagaro.com/hc/en-us/articles/21356144738331-Create-Daily-Deals-for-Memberships-Packages",True,"The AI's response accurately covers the benefits of creating Daily Deals, including advertising to new customers, encouraging returning customers, and increasing visibility, while also adding helpful information about the feature being free and commission-free."
positive,How can I change the URL of a new page I add to my MySite?,You can change the URL of a new page by updating the URL Slug in the page settings.,"You can change the URL of a new page by updating the URL Slug in the page settings. The URL Slug is the part of the URL that appears after your domain name, and you can customize it to your preference. Source: https://support.vagaro.com/hc/en-us/articles/20043859618843-MySite-Add-a-New-Web-Page",True,The AI's response accurately conveys the method to change the URL and provides additional helpful detail about the URL Slug.
positive,What steps do I need to follow to decrease the quantity of a single product on my phone?,"To decrease the quantity of a selected product on your phone, select More → Settings → Management, then select the product to be edited. If you want to decrease the stock of a single Variant, select the Right-Arrow > next to the product to view its Variants. In the top-right corner of the screen, select the button, then select Subtract. Enter the date, select a reason for the reduction, and optionally enter a comment. Finally, select the Subtract - button to remove stock from your inventory and select Save.","To decrease the quantity of a single product on your phone, follow these steps:
1. Select More → Settings → Management.
2. Select the product to be edited.
3. If it has Variants, select the right arrow > next to the product.
4. In the top-right corner, select the button, then choose Subtract.
5. Enter the date, reason, and optional comment.
6. Tap Subtract to remove stock.
7. Select Save.

Source: https://support.vagaro.com/hc/en-us/articles/29525023232539-Lower-Product-Quantity",True,"The AI's response accurately outlines the steps needed to decrease the quantity of a single product on the phone, matching the central idea of the ground truth answer."
positive,What are the steps to create a compound medication in E-Prescribe?,"To create a compound medication in E-Prescribe, go to Customers and select a customer. Then, select the patient's profile and go to the E-Prescribe tab. In Prescriptions, select Prescribe New Drug → Compound/Specialty → Setup Compound. Enter a Title and a Comment for the compound, then select Add Compound. Next, select Edit next to Compound to enter Ingredients, Quantity, Directions, and the Pharmacy for the compound medication, then select Update Compound.","To create a compound medication in E-Prescribe, follow these steps:

1. Go to Customers and select a customer.
2. Select the patient's profile and go to the E-Prescribe tab.
3. In Prescriptions, select Prescribe New Drug → Compound/Specialty → Setup Compound.
4. Enter a Title and a Comment for the compound, then select Add Compound.
5. Next to Compound, select Edit.
6. Enter Ingredients, Quantity, Directions, and select the Pharmacy.
7. Select Update Compound.

Note: You need permission to set up a compound medication, and this feature requires E-Prescribe. Source: https://support.vagaro.com/hc/en-us/articles/41163913325979-Set-Up-and-Prescribe-a-Compound-Medication",True,The AI's response accurately outlines the steps to create a compound medication in E-Prescribe and includes additional helpful information about permissions and feature requirements.
positive,Why should I set up safe IP addresses for my team members in Vagaro?,"Setting up safe IP addresses allows team members to log in only from specific, approved locations, preventing unknown users and devices from accessing your Vagaro business account.","Setting up safe IP addresses for your team members in Vagaro ensures that they can only log in from specific, authorized locations. This helps prevent unauthorized access from unknown users or devices, enhancing your business's security. Source: https://support.vagaro.com/hc/en-us/articles/21876536869531-Best-Practices-for-Vagaro-Security",True,The AI's response accurately conveys the main idea of setting up safe IP addresses to enhance security by restricting access to approved locations.
positive,How do I use a package to redeem a service during booking on Vagaro?,"On the checkout screen, ensure no points or memberships are applied, then select 'Use Package Visit' for the package to be used, and proceed with booking your service or class.","To redeem a package during booking on Vagaro, go to the checkout screen and ensure no points or memberships are applied. On the right side, select ""Use Package Visit"" for the package you want to redeem. You can also use another payment method for any remaining balance. Review and confirm your booking. Source: https://support.vagaro.com/hc/en-us/articles/360006472253-Redeem-a-Package-for-Customers-of-A-Vagaro-Business",True,The AI's response accurately covers the main steps for redeeming a package during booking on Vagaro and adds helpful detail about using another payment method.
positive,What should I do if the receipt printer does not print a test receipt during setup?,"Ensure that the receipt printer is powered on, all cables are fully inserted, and the receipt paper is inserted correctly, then select Test again or choose Skip for now to try later.","Make sure the receipt printer is powered on, all cables are fully inserted, and the receipt paper is loaded correctly. Then, select Test again or choose Skip for now to try again later. Source: https://support.vagaro.com/hc/en-us/articles/27909914522651-Set-Up-PayPro-Duo",True,"The AI's response accurately covers the necessary steps to troubleshoot the receipt printer issue, aligning with the ground truth."
positive,How can I resend an invitation to my customers after changing my Vagaro URL?,"After updating your Vagaro URL in your Business Profile, go to Marketing, select Invite Customers, and confirm to resend the invitation, which will send a new welcome email with the updated URL.","After changing your Vagaro URL, you should resend the invitation to your customers to ensure they have the updated link. To do this, go to the Marketing tab, select Invite Customers, and confirm the action. This will send a new invitation email with your updated URL. Source: https://support.vagaro.com/hc/en-us/articles/115005045413-Invite-Customers-to-Your-Vagaro-Listing-Page",True,"The AI's response accurately describes the steps to resend the invitation after changing the Vagaro URL, aligning with the ground truth."
positive,How do I add a product bundle in Vagaro using a barcode scanner on a computer or tablet?,"To add a product bundle with a barcode scanner, plug the scanner into your device, press and hold the power button, and hold it up to the barcode until you hear a beep. The code will appear in the text box. Then, select Next to continue.","To add a product bundle using a barcode scanner on a computer or tablet, go to Inventory Management, select Add (or +), then choose Product Bundle. Scan your bundle's barcode with the scanner or enter the product ID manually. Enter the bundle details, add products to the bundle, set quantities, and prices. Finally, select Save. 

Source: https://support.vagaro.com/hc/en-us/articles/1260800450750-Add-a-Product-Bundle-to-Your-Inventory",False,"The AI's response does not mention the specific steps of using the barcode scanner, such as plugging it in and scanning the barcode until a beep is heard, which are crucial for the customer to successfully add a product bundle."
positive,How can I view the current balance of a gift card if the receipt is lost?,"You can view the current balance of a gift card by going to the Gift Card Report, which shows all gift cards sold and their balances.","You can view the current balance of a gift card by going to the Gift Card Report in Vagaro. From this report, you can see all gift cards sold, check their current balances, void a gift card, resend a receipt, or change its balance. Source: https://support.vagaro.com/hc/en-us/articles/18627015674011-Sell-Gift-Cards",True,The AI's response accurately conveys how to view the current balance of a gift card and includes additional relevant details about the Gift Card Report.
positive,How can I display my business phone number when there are no available appointments on my Vagaro Listing Page?,Enable the setting 'Display Business Phone Number When Appointments are Unavailable' to prompt customers to call your business and show your phone number when no appointments are available.,"To display your business phone number when appointments are unavailable, enable the ""Display Business Phone Number When Appointments are Unavailable"" setting in the Online Appointment Rules. Go to Settings → Online Appointment Rules, then toggle this option on and save your changes. Source: https://support.vagaro.com/hc/en-us/articles/204347060-Configure-Your-Online-Appointment-Rules",True,"The AI's response accurately conveys the necessary steps to enable the display of the business phone number when appointments are unavailable, aligning with the ground truth."
positive,How do I change the title tag for a specific page on my Vagaro MySite?,"To change a page's title tag, select MySite, go to the Pages tab in the left design panel, hover over the page, click the Gear button, scroll down to Title Tag, enter your new tag, and then select Save.","To change the title tag for a specific page on your Vagaro MySite, select MySite, go to the Pages tab in the left design panel, hover over the page, click the Gear button, scroll down to Title Tag, enter your desired tag, and then select Save. Preview and publish your changes as needed. Source: https://support.vagaro.com/hc/en-us/articles/26945918520987-MySite-Change-the-Title-Tag-for-a-Page",True,The AI's response accurately covers the steps to change the title tag and adds helpful information about previewing and publishing changes.
positive,How can I apply a gift card to my purchase on Vagaro's website if it's not automatically applied?,"On a computer, go to the Vagaro Listing Page, add items to your cart, proceed to checkout, then under the Gift Cards heading, select the gift cards you'd like to apply. If needed, select Add Gift Card, enter the Gift Card Number, and click Apply.","If your gift card is not automatically applied, log out of Vagaro and log back in again. On a computer, you can also try clearing your web browser's cookies and cache, then log in again. Then, go to the checkout page, scroll to the Gift Cards section, and select the gift cards you'd like to apply. If needed, enter the gift card number and select Apply. Source: https://support.vagaro.com/hc/en-us/articles/360006601033-Redeem-Gift-Cards-Online-for-Customers-of-Vagaro-Business",True,"The response provides a correct method for applying a gift card and includes troubleshooting steps, which are helpful for the customer."
positive,How do I add a new external link to my Vagaro MySite navigation bar?,"To add a new external link, select MySite, go to the Pages tab in the left design panel, click Add Nav Link, enter a Link Name, input the Link URL of the external website, optionally toggle Open in new tab, then click Save.","To add a new external link to your Vagaro MySite navigation bar, select MySite, go to the Pages tab in the left design panel, and click Add Nav Link. Enter a Link Name, the external website URL in Link URL, and optionally toggle Open in new tab. Then, select Save. Preview and publish your changes by going to Publish, then Preview or Publish. Source: https://support.vagaro.com/hc/en-us/articles/33245801195291-MySite-Create-a-Navigation-Link",True,The AI's response accurately covers the steps to add a new external link and includes additional helpful details about previewing and publishing changes.
positive,What information do I need to enter under the Business Information section when setting up my Vagaro business profile?,"You need to enter your business's legal name, a description of what your business does (at least 100 characters), contact information including phone, email, and website, and your Vagaro URL.","You need to enter the following information under the Business Information section:
- Business Name (your legal business name)
- Business Description (at least 100 characters about your business)
- Business Phone
- Business Email
- Business Website
- Vagaro URL (your business's name or moniker for your Vagaro Listing Page) 

Source: https://support.vagaro.com/hc/en-us/articles/18977243390491-Set-Up-Your-Business-Profile",True,"The AI's response accurately lists all the required information for the Business Information section, aligning with the ground truth answer."
positive,What are the recommended dimensions and aspect ratio for uploading a logo image to Vagaro?,"The recommended dimensions are at least 1000 x 667 pixels, and the image should be placed on a 3:2 canvas (1280 x 1920 pixels) to ensure proper cropping and professional appearance.","The recommended dimensions for uploading a logo image to Vagaro are at least 1000 x 667 pixels, and the aspect ratio should be 3:2. Use a 3:2 canvas, such as 1280 x 1920 pixels, for best results. Source: https://support.vagaro.com/hc/en-us/articles/115006340867-Logo-Image-Tips",True,"The AI's response accurately conveys the recommended dimensions and aspect ratio for uploading a logo image to Vagaro, aligning with the ground truth."
positive,What happens to my data when I deactivate the Data Lake integration?,"Deactivating the Data Lake integration will remove all previous, current, and future data from your business intelligence software.","When you deactivate the Data Lake integration, all previous, current, and future data will be removed from your business intelligence software. Source: https://support.vagaro.com/hc/en-us/articles/34914557151643-Deactivate-the-Data-Lake-Integration",True,The AI's response accurately reflects the ground truth answer regarding the removal of data upon deactivation of the Data Lake integration.
positive,What information do I need to enter to add a new employee's profile in Vagaro?,"To add a new employee's profile, you need to enter their First Name, Last Name, Email, Confirm Email, and optionally upload a Profile Picture, and provide personal details such as Address, Gender, Birthday, Phone Number, and Company Information like Start Date and Reports To. You also set their Login Information, including Username, Employee Card ID, Password, Security Question, and Employee Access settings.","To add a new employee's profile in Vagaro, you need to enter their First Name, Last Name, Email, and Confirm Email. Optional information includes a profile picture, address details, gender, birthday, phone number, contact visibility preferences, start date, reports to (manager), employee bio, notification preferences, username, employee card ID, password, security question, and employee type. Source: https://support.vagaro.com/hc/en-us/articles/18977275440795-Add-an-Employee-Profile",True,"The AI's response covers all the essential information needed to add a new employee's profile in Vagaro, including both required and optional details."
positive,How can I view the usage history of a customer's purchased package in Vagaro?,"To view a customer's package usage, go to the customer's profile, select the Packages tab, then select the package and click History.","To view the usage history of a customer's purchased package in Vagaro, go to the customer's profile, select the Packages tab, then select the package to view and click on History. Alternatively, on a computer, select the Action menu at the end of the package row and choose History. Source: https://support.vagaro.com/hc/en-us/articles/4406328135451-Manage-Purchased-Packages-from-a-Customer-s-Profile",True,"The AI's response accurately describes the steps to view a customer's package usage and includes an additional method for computer users, which enhances the answer."
positive,How can I add a new brand to my products in Vagaro if it's not already in the preset list?,"Go to the Inventory Management screen, create a new product or edit an existing one, select 'Create New Brand' from the Brand list, enter the Brand Name, and then select Save.","To add a new brand to your products in Vagaro, go to the Inventory Management screen, create or edit a product, then in the Brand list, select Create New Brand. Enter the Brand Name, then select Save. Your new brand will be added to the list. Source: https://support.vagaro.com/hc/en-us/articles/360001713713-Add-a-Product-Brand-and-Vendor",True,"The AI's response accurately covers the steps needed to add a new brand in Vagaro, matching the ground truth answer."
positive,How do I clear browsing history and cache in Microsoft Edge?,"In Microsoft Edge, click the action menu (3 dots), select Settings, then Privacy, search, and services. Under Clear browsing data, click Choose what to clear, select the items you want to clear, choose a time range, and click Clear now. Finally, close all browser windows and restart Edge.","To clear browsing history and cache in Microsoft Edge, click the action menu (3 horizontal dots), select Settings, then Privacy, search, and services. Under Clear browsing data, click Choose what to clear, select Browsing history, Cookies, and Cached images and files, choose a time range, and click Clear now. Close all browser windows and restart. Source: https://support.vagaro.com/hc/en-us/articles/204346890-Clear-Cache-and-History-on-a-Web-Browser",True,"The AI's response accurately covers the steps to clear browsing history and cache in Microsoft Edge, including the necessary options and actions."
positive,How can I list my business on Google and Apple Maps using Vagaro?,"To list your business on Google and Apple Maps, go to your Business Profile settings, toggle on 'List Business on Vagaro.com,' which also enables listing on Google.com and Apple Maps, provided you have the required business accounts, and then click Save.","To list your business on Google and Apple Maps using Vagaro, go to your Business Profile settings, enter a unique URL slug, and toggle on ""List Business on Google.com"" and/or ""List Business on Apple Maps."" Note that a Google or Apple business account is required for each platform. Then, click Save. Source: https://support.vagaro.com/hc/en-us/articles/360000604014-Turn-on-Online-Booking-and-List-Your-Business-on-Vagaro",True,"The AI's response accurately describes the process of listing a business on Google and Apple Maps using Vagaro, including the need for business accounts and the necessary settings."
positive,What details are shown in the Payment History section of the Vagaro Capital Report?,"The Payment History section displays the days you've made payments, showing the payment date, the amount paid, and your remaining balance for each payment.","The Payment History section displays the payment date, the amount paid, and your remaining balance for each payment made toward your Vagaro Capital balance. Source: https://support.vagaro.com/hc/en-us/articles/41561529042587-Check-Your-Vagaro-Capital-Balance-and-Payments",True,"The AI's response accurately covers the central idea of the Payment History section by detailing the payment date, amount paid, and remaining balance."
positive,When is the confirmation request typically sent to a customer before their appointment?,A confirmation request is typically sent 72 hours before the scheduled appointment.,The confirmation request is typically sent 72 hours before the scheduled appointment. Source: https://support.vagaro.com/hc/en-us/articles/360000393854-Examples-of-Appointment-Notifications-and-Reminders,True,The AI's response accurately reflects the ground truth answer regarding the timing of the confirmation request.
positive,How can I change the hero image in my new blog post on MySite?,"Hover over the image box in your new blog post, then select Change Hero Image. You can choose to search online, upload an image from your computer, or select from your previously uploaded images in the library. You can also modify the image's appearance, layout, position, and roundness using the right settings panel.","To change the hero image in your new blog post on MySite, hover over the image box, then select ""Change Hero Image."" You can then choose an image by searching online, uploading from your computer, or selecting from your library. You can also modify how the image appears using the settings panel. Source: https://support.vagaro.com/hc/en-us/articles/31549408978331-MySite-Create-a-Blog-Post",True,"The AI's response accurately conveys the steps to change the hero image and includes the options available for selecting an image, aligning well with the ground truth."
positive,Where do I add custom code to include Google Tag Manager on my MySite?,"You add custom code in the Head Code box for the header or the Footer Code box for the footer in your MySite settings, then save and publish your site.",You should add your custom code to the Head Code box in your MySite settings. This will include the code in the Head element of your website. Source: https://support.vagaro.com/hc/en-us/articles/26664552870043-MySite-Add-Head-or-Footer-Code-to-Your-Website,False,The AI's response omits the option to add code to the Footer Code box and does not mention the need to save and publish the site.
positive,What happens if I run out of email or text credits when sending a campaign?,"If you run out of email or text credits, you'll be charged an overage fee for each additional message you send, and a popup will appear to inform you of the overage and options to upgrade or accept the charges.","If you run out of email or text credits when sending a campaign, you'll be charged an overage fee for each additional message sent. A popup will appear before sending, informing you of the overage and giving you the option to upgrade your plan or accept the charges. Source: https://support.vagaro.com/hc/en-us/articles/38605174908059-Avoid-Email-and-Text-Plan-Overages",True,"The AI's response accurately conveys the main points about being charged an overage fee and receiving a popup notification, aligning with the ground truth."
positive,What must be done before transferring ownership if the current owner has future bookings?,The future bookings must be moved to another employee's calendar or a new employee who does not have hours or services before ownership can be transferred.,"Before transferring ownership, you must move the current owner's future bookings to another employee's calendar or add a new employee who does not have hours or services. Then, you can proceed with the transfer. Source: https://support.vagaro.com/hc/en-us/articles/204347570-Change-Owner-or-Transfer-Business",True,"The AI's response accurately conveys the requirement to move future bookings before transferring ownership, aligning with the ground truth."
positive,Who is authorized to activate the Facebook Book Now button on my Vagaro business page?,Only the Vagaro business account owner can activate the Facebook Book Now button; employees will see a popup stating 'You have no rights to authorize' if they try.,"Only the Vagaro business account owner can activate the Facebook Book Now button. If employees try to enable it, they'll see a popup stating ""You have no rights to authorize."" Source: https://support.vagaro.com/hc/en-us/articles/360002102633-Add-a-Book-Now-Button-to-Facebook",True,The AI's response accurately conveys the central idea that only the business account owner can activate the button and includes the consequence for employees attempting to do so.
